12:59:17.897 INFO  [main] - Starting CoinBotApplication using Java 17.0.7 with PID 5616 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
13:45:11.697 INFO  [main] - ADDED: id=5117 Origin Protocol OGN
13:45:11.697 INFO  [main] - ADDED: id=2780 NKN NKN
13:45:11.697 INFO  [main] - ADDED: id=1886 Dent DENT
13:45:11.697 INFO  [main] - ADDED: id=541 Syscoin SYS
13:45:11.697 INFO  [main] - ADDED: id=6945 Amp AMP
13:45:11.697 INFO  [main] - ADDED: id=21351 Sweat Economy SWEAT
13:45:11.697 INFO  [main] - ADDED: id=3978 Chromia CHR
13:45:11.697 INFO  [main] - ADDED: id=4206 WINkLink WIN
13:45:11.697 INFO  [main] - ADDED: id=24203 SmarDex SDEX
13:45:11.697 INFO  [main] - ADDED: id=3600 Hippocrat HPO
13:45:11.697 INFO  [main] - ADDED: id=7224 DODO DODO
13:45:11.697 INFO  [main] - ADDED: id=18895 MARBLEX MBX
13:45:11.697 INFO  [main] - ADDED: id=27009 UniBot UNIBOT
13:45:11.697 INFO  [main] - ADDED: id=23195 Access Protocol ACS
13:45:11.697 INFO  [main] - ADDED: id=26680 Neutron NTRN
13:45:11.697 INFO  [main] - ADDED: id=16946 Metacraft MCT
13:45:11.698 INFO  [main] - ADDED: id=11584 Braintrust BTRST
13:45:11.698 INFO  [main] - ADDED: id=5026 Orchid OXT
13:45:11.698 INFO  [main] - ADDED: id=7824 Vai VAI
13:45:11.698 INFO  [main] - ADDED: id=5824 Smooth Love Potion SLP
13:45:11.698 INFO  [main] - ADDED: id=13769 World Mobile Token WMT
13:45:11.698 INFO  [main] - ADDED: id=7232 Stella ALPHA
13:45:11.698 INFO  [main] - ADDED: id=6841 Phala Network PHA
13:45:11.698 INFO  [main] - ADDED: id=17591 NYM NYM
13:45:11.698 INFO  [main] - ADDED: id=1866 Bytom BTM
13:45:11.698 INFO  [main] - ADDED: id=7242 cVault.finance CORE
13:45:11.698 INFO  [main] - ADDED: id=11232 Highstreet HIGH
13:45:11.698 INFO  [main] - ADDED: id=21178 Metars Genesis MRS
13:45:11.698 INFO  [main] - ADDED: id=10529 Sun (New) SUN
13:45:11.698 INFO  [main] - ADDED: id=10052 Gitcoin GTC
13:45:11.699 INFO  [main] - ADDED: id=5604 Secret SCRT
13:45:11.699 INFO  [main] - ADDED: id=20641 EURC EURC
13:45:11.699 INFO  [main] - ADDED: id=693 Verge XVG
13:45:11.699 INFO  [main] - ADDED: id=2840 QuarkChain QKC
13:45:11.699 INFO  [main] - ADDED: id=1762 Ergo ERG
13:45:11.699 INFO  [main] - ADDED: id=8100 Ankr Staked ETH ankrETH
13:45:11.699 INFO  [main] - ADDED: id=20886 Astrafer ASTRAFER
13:45:11.699 INFO  [main] - ADDED: id=9640 MetisDAO METIS
13:45:11.699 INFO  [main] - ADDED: id=2896 Mainframe MFT
13:45:11.699 INFO  [main] - ADDED: id=4038 MovieBloc MBL
13:45:11.699 INFO  [main] - ADDED: id=11079 Bitgert BRISE
13:45:11.699 INFO  [main] - ADDED: id=18037 Maverick Protocol MAV
13:45:11.699 INFO  [main] - ADDED: id=5268 Energy Web Token EWT
13:45:11.699 INFO  [main] - ADDED: id=12749 Nakamoto Games NAKA
13:45:11.699 INFO  [main] - ADDED: id=17081 LooksRare LOOKS
13:45:11.699 INFO  [main] - ADDED: id=5190 FLEX FLEX
